"type_searchedVerb","type_selection3"
"despotricar","1. intr. coloq. Hablar sin consideración ni reparo, generalmente criticando a los demás. U. t. c. prnl."
"despreciar","1. tr. Desestimar y tener en poco."
"despuntar","1. tr. Quitar o gastar la punta de algo. U. t. c. prnl."
"destapar","1. tr. Quitar la tapa o el tapón a algo. U. t. c. prnl."
"desterrar","1. tr. Dicho de quien tiene poder o autoridad para ello: Expulsar a alguien de un territorio."
"destetar","1. tr. Hacer que deje de mamar el niño o las crías de los animales, procurando su nutrición por otros medios. U. t. c. prnl."
"desteñir","1. tr. Quitar el tinte, borrar o apagar los colores. U. t. c. intr. y c. prnl."
"destilar","1. tr. Calentar un cuerpo hasta evaporar su sustancia volátil que, enfriada después, recupera su estado líquido."
"destituir","1. tr. Separar a alguien del cargo que ejerce."
"destripar","1. tr. Quitar, sacar o desgarrar las tripas."
"destruir","1. tr. Reducir a pedazos o a cenizas algo material, u ocasionarle un grave daño. U. t. c. prnl."
"desunir","1. tr. Apartar o separar algo de otra cosa. U. t. c. prnl."
"desvainar","1. tr. Sacar de las vainas en que se crían los granos de habas, guisantes y otras semillas."
"desvariar","1. intr. Delirar, decir locuras o despropósitos."
"desvelar","1. tr. Impedir el sueño a alguien, no dejarlo dormir. U. t. c. prnl. Si tomo café, me desvelo con mucha facilidad."
"desvestir","1. tr. desnudar. U. t. c. prnl."
"desviar","1. tr. Apartar o alejar a alguien o algo del camino que seguía. U. t. c. prnl. U. t. en sent. fig."
"desvirgar","1. tr. Quitar la virginidad a una persona."
"detener","1. tr. Impedir que algo o alguien sigan adelante. Detuvo el coche y se bajó. U. t. c. prnl."
"deteriorar","1. tr. Hacer que algo o alguien pase a un peor estado o condición."
"detonar","1. tr. Iniciar una explosión o un estallido."
"devolver","1. tr. Volver algo a su estado anterior. El aire sano le devolvió el color al rostro."
"devorar","1. tr. Dicho de un animal: Comer su presa."
"dibujar","1. tr. Trazar en una superficie la imagen de algo."
"difamar","1. tr. Desacreditar a alguien, de palabra o por escrito, publicando algo contra su buena opinión y fama."
"diferenciar","1. tr. Hacer distinción, conocer la diversidad de las cosas."
