desdecir,transitive,0
desdoblar,transitive,0
desear,transitive,0
desechar,transitive,0
desembarcar,transitive,0
desembolsar,transitive,0
desemborrachar,transitive,0
desembrollar,transitive,0
desembuchar,transitive,0
desemparejar,transitive,0
desempatar,transitive,intransitive
desempolvar,transitive,0
desencabestrar,transitive,0
desencadenar,transitive,0
desencantar,transitive,0
desengrasar,transitive,0
desenlazar,transitive,0
desenredar,transitive,0
desenterrar,transitive,0
desenvainar,transitive,0
desenvolver,transitive,0
desertar,transitive,intransitive
desesperar,transitive,intransitive
desfallecer,transitive,0
desfibrar,transitive,0
desfigurar,transitive,0
desflorar,transitive,0
desgarrar,transitive,0
desgraciar,transitive,0
desgranar,transitive,0
deshacer,transitive,0
deshilar,transitive,0
deslenguar,transitive,0
desliar,transitive,0
deslucir,transitive,0
deslumbrar,transitive,0
desmalezar,transitive,0
desmejorar,transitive,0
desmenuzar,transitive,0
desmontar,transitive,0
desmotar,transitive,0
desnatar,transitive,0
desnucar,transitive,0
desnudar,transitive,0
desobedecer,transitive,0
desocupar,transitive,0
desollar,transitive,0
desordenar,transitive,0
desorejar,transitive,0
desovar,transitive,intransitive
desparramar,transitive,0
despechar,transitive,0
despedazar,transitive,0
despegar,transitive,0
despellejar,transitive,0
despertar,transitive,0
despintar,transitive,0
despiojar,transitive,0
desplegar,transitive,0
despojar,transitive,0
despotricar,transitive,intransitive
despreciar,transitive,0
despuntar,transitive,0
destapar,transitive,0
desterrar,transitive,0
destetar,transitive,0
desteñir,transitive,intransitive
destilar,transitive,0
destituir,transitive,0
destripar,transitive,0
destruir,transitive,0
desunir,transitive,0
desvainar,transitive,0
desvariar,transitive,intransitive
desvelar,transitive,0
desvestir,transitive,0
desviar,transitive,0
desvirgar,transitive,0
detener,transitive,0
deteriorar,transitive,0
detonar,transitive,0
devolver,transitive,0
devorar,transitive,0
dibujar,transitive,0
difamar,transitive,0
diferenciar,transitive,0
diferir,transitive,0
dificultar,transitive,0
difundir,transitive,0
dignificar,transitive,0
dilapidar,transitive,0
dilatar,transitive,0
diluir,transitive,0
dirigir,transitive,0
disculpar,transitive,0
discursear,transitive,intransitive
discutir,transitive,0
disecar,transitive,0
diseminar,transitive,0
disentir,transitive,intransitive
disgustar,transitive,0
disimular,transitive,intransitive
disipar,transitive,0
dislocar,transitive,0
disminuir,transitive,intransitive
disolver,transitive,0
disparar,transitive,0
disparatar,transitive,intransitive
disponer,transitive,0
disputar,transitive,0
distar,transitive,intransitive
distinguir,transitive,0
divertir,transitive,0
dividir,transitive,0
divulgar,transitive,0
doblar,transitive,0
doler,transitive,intransitive
domar,transitive,0
domesticar,transitive,0
dominar,transitive,0
dorar,transitive,0
dormir,transitive,intransitive
dormitar,transitive,intransitive
dudar,transitive,0
duplicar,transitive,0
durar,transitive,intransitive
echar,transitive,0
economizar,transitive,0
edificar,transitive,0
educar,transitive,0
efectuar,transitive,0
ejecutar,transitive,0
elegir,transitive,0
elevar,transitive,0
eliminar,transitive,0
elogiar,transitive,0
eludir,transitive,0
emanar,transitive,intransitive
emancipar,transitive,0
embadurnar,transitive,0
embalar,transitive,0
embanderar,transitive,0
embarazar,transitive,0
embarrar,transitive,0
embarullar,transitive,0
embaucar,transitive,0
embaular,transitive,0
embeber,transitive,0
embelesar,transitive,0
embellecer,transitive,0
embestir,transitive,intransitive
embobar,transitive,0
embolsar,transitive,0
emborrachar,transitive,0
emboscar,transitive,0
embotar,transitive,0
embotellar,transitive,0
embravecer,transitive,0
embriagar,transitive,0
embrujar,transitive,0
embutir,transitive,0
emocionar,transitive,0
empachar,transitive,0
empapar,transitive,0
empaquetar,transitive,0
emparejar,transitive,0
empatar,transitive,intransitive
empeorar,transitive,intransitive
empequeñecer,transitive,intransitive
empezar,transitive,0
emplear,transitive,0
emplumar,transitive,0
empobrecer,transitive,0
empollar,transitive,intransitive
empujar,transitive,0
enaltecer,transitive,0
enamorar,transitive,0
enardecer,transitive,0
encabestrar,transitive,0
encabezar,transitive,0
encajar,transitive,intransitive
encajonar,transitive,0
encaminar,transitive,0
encandilar,transitive,intransitive
encarcelar,transitive,0
encariñar,transitive,0
encender,transitive,0
encenizar,transitive,0
encestar,transitive,0
encimar,transitive,intransitive
encoger,transitive,0
encolar,transitive,0
encolerizar,transitive,0
encomendar,transitive,0
encontrar,transitive,0
encorvar,transitive,0
encubrir,transitive,0
encumbrar,transitive,0
enderezar,transitive,0
endiosar,transitive,0
endulzar,transitive,0
endurecer,transitive,0
enemistar,transitive,0
enfadar,transitive,0
enfermar,transitive,0
enflaquecer,transitive,0
enfrentar,transitive,0
enfriar,transitive,intransitive
enfurecer,transitive,0
engalanar,transitive,0
engañar,transitive,0
engendrar,transitive,intransitive
engomar,transitive,0
engordar,transitive,intransitive
