"type_searchedVerb","type_selection3"
"remitir","1. tr. Enviar a alguien o algo a una persona o a un lugar. Su médico lo remitió al especialista. Remití un paquete a la oficina."
"remojar","1. tr. Empapar o sumergir en agua algo. U. t. c. prnl."
"remolcar","1. tr. Dicho de un vehículo: Llevar por tierra a otro."
"remontar","1. tr. Superar algún obstáculo o dificultad."
"remover","1. tr. Pasar o mudar algo de un lugar a otro. U. t. c. prnl."
"remunerar","1. tr. Recompensar, premiar, galardonar."
"rendir","1. tr. Vencer, sujetar, obligar a las tropas, plazas, embarcaciones enemigas, etc., a que se entreguen."
"renovar","1. tr. Hacer como de nuevo algo, o volverlo a su primer estado. U. t. c. prnl."
"renunciar","1. intr. Hacer dejación voluntaria, dimisión o apartamiento de algo que se tiene, o se puede tener. Renunciaré a mi libertad. U. t. c. tr."
"reparar","1. tr. Arreglar algo que está roto o estropeado."
"repartir","1. tr. Distribuir algo dividiéndolo en partes."
"repeler","1. tr. Rechazar, hacer retroceder o apartar lejos de sí. Repeler el ataque."
"repetir","1. tr. Volver a hacer lo que se había hecho, o decir lo que se había dicho."
"repiquetear","1. tr. Dicho de las campanas u otro instrumento sonoro: Repicar con mucha viveza. U. t. c. intr."
"replicar","1. intr. Instar o argüir contra la respuesta o argumento."
"reponer","1. tr. Volver a poner, constituir, colocar a alguien o algo en el empleo, lugar o estado que antes tenía."
"reposar","1. intr. Descansar, interrumpir la actividad para recuperarse del cansancio. U. t. c. prnl. Se reposaba de las fatigas del día."
"reprender","1. tr. Corregir, amonestar a alguien vituperando o desaprobando lo que ha dicho o hecho."
"representar","1. tr. Hacer presente algo con palabras o figuras que la imaginación retiene. U. t. c. prnl."
"reprimir","1. tr. Contener, refrenar, templar o moderar. U. t. c. prnl."
"reprobar","1. tr. No aprobar, dar por malo."
"reprochar","1. tr. Reconvenir, echar en cara. U. t. c. prnl."
"reproducir","1. tr. Volver a producir, o producir de nuevo. U. t. c. prnl."
"repudiar","1. tr. Rechazar algo, no aceptarlo. Repudiar la ley, la paz, un consejo."
"repugnar","1. tr. Rehusar, hacer de mala gana algo o admitirlo con dificultad."
"requebrar","1. tr. Volver a quebrar en piezas más menudas lo que estaba ya quebrado."
"resaltar","1. intr. Dicho de un cuerpo elástico: Botar repetidamente."
"resarcir",""
