amontonar,1. tr. Poner unas cosas sobre otras sin orden ni concierto. U. t. c. prnl.
amordazar,1. tr. Poner mordaza.
ampliar,"1. tr. Extender, dilatar."
ampollar,1. adj. De forma de ampolla.
andar,1. intr. Dicho de un ser animado: Ir de un lugar a otro dando pasos. U. t. c. prnl.
anegar,1. tr. inundar (‖ cubrir el agua un lugar). U. t. c. prnl. U. t. en sent. fig.
anexar,1. tr. Unir o agregar algo a otra cosa con dependencia de ella.
anhelar,"1. tr. Tener ansia o deseo vehemente de conseguir algo. Anhelar empleos, honras, dignidades."
anidar,1. intr. Dicho de un ave: Hacer nido o vivir en él. U. t. c. prnl.
animar,1. tr. Infundir vigor a un ser vivo.
anochecer,"1. intr. impers. Empezar a faltar la luz del día, venir la noche."
anudar,1. tr. Hacer uno o más nudos. U. t. c. prnl.
anular,1. adj. Perteneciente o relativo al anillo.
anunciar,"1. tr. Dar noticia o aviso de algo; publicar, proclamar, hacer saber."
apaciguar,"1. tr. Poner en paz, sosegar, aquietar. U. t. c. prnl."
apagar,"1. tr. Hacer que el fuego, la luz u otra cosa dejen de arder o de lucir. U. t. c. prnl."
apalabrar,1. tr. Dicho de dos o más personas: Concertar de palabra algo.
aparecer,"1. intr. Manifestarse, dejarse ver, por lo común, causando sorpresa, admiración u otro movimiento del ánimo. U. t. c. prnl."
aparentar,1. tr. Manifestar o dar a entender lo que no es o no hay. U. t. c. intr.
apartar,"1. tr. Separar, desunir, dividir. U. t. c. prnl."
apasionar,"1. tr. Causar, excitar alguna pasión. U. m. c. prnl."
apear,"1. tr. Desmontar o bajar a alguien de una caballería, de un carruaje o de un automóvil. U. m. c. prnl."
apenar,"1. tr. Causar pena, afligir. U. t. c. prnl."
apercibir,"1. tr. Prevenir, disponer, preparar lo necesario para algo. U. t. c. prnl."
apestar,"1. tr. Causar, comunicar la peste. U. t. c. prnl."
apetecer,"1. tr. Tener gana de algo, o desearlo. U. t. c. prnl."
apilar,1. tr. Poner una cosa sobre otra haciendo pila (‖ conjunto de cosas superpuestas).
apisonar,"1. tr. Apretar o allanar tierra, grava, etc., por medio de un pisón o una apisonadora."
apiñar,1. tr. Juntar o agrupar estrechamente personas o cosas. U. t. c. prnl.
aplanar,1. tr. allanar (‖ poner llano algo).
aplastar,"1. tr. Deformar una cosa por presión o golpe, aplanándola o disminuyendo su grueso o espesor. U. t. c. prnl."
aplaudir,1. tr. Palmotear en señal de aprobación o entusiasmo.
aplazar,1. tr. Retrasar el momento de realizar algo.
apocopar,1. tr. Fon. Hacer uso de la apócope.
apodar,1. tr. Poner o decir apodos.
aporcar,"1. tr. Cubrir con tierra ciertas plantas, como el apio, el cardo, la escarola y otras hortalizas, para que se pongan más tiernas y blancas."
apostar,"1. tr. Dicho de una persona: Pactar con otra u otras que aquel que se equivoque o no tenga razón, perderá la cantidad de dinero que se determine o cualquier otra cosa. U. t. c. prnl."
apoyar,1. tr. Sacar el apoyo o apoyadura de los pechos.
apreciar,1. tr. Reconocer y estimar el mérito de alguien o de algo.
aprehender,"1. tr. Coger, asir, prender a alguien, o bien algo, especialmente si es de contrabando."
apremiar,"1. tr. Dar prisa, compeler a alguien a que haga algo con prontitud."
aprender,1. tr. Adquirir el conocimiento de algo por medio del estudio o de la experiencia. U. t. c. intr. Hay que aprender de los propios errores.
apresar,"1. tr. Asir, hacer presa con las garras o con los colmillos."
apresurar,"1. tr. Dar prisa, acelerar. U. t. c. prnl."
apretar,"1. tr. Estrechar algo contra el pecho o ceñir, de ordinario con la mano o los brazos."
aprobar,"1. tr. Calificar o dar por bueno o suficiente algo o a alguien. Aprobar una boda, una opinión, a una persona para un cargo."
aproximar,"1. tr. Arrimar, acercar. U. t. c. prnl."
apuntalar,1. tr. Poner puntales.
apurar,1. tr. Acabar o agotar.
apuñalar,1. tr. Dar de puñaladas.
arar,1. m. alerce africano.
arañar,"1. tr. Raspar, rasgar, herir ligeramente la piel con las uñas o con un objeto cortante o punzante. U. t. c. prnl."
archivar,1. tr. Guardar documentos o información en un archivo.
arengar,1. tr. Dirigir a alguien una arenga. U. t. c. intr.
arquear,1. tr. Dar a algo forma de arco. U. t. c. prnl.
arrancar,"1. tr. Sacar de raíz. Arrancar un árbol, una planta."
arrastrar,"1. tr. Llevar a alguien o algo por el suelo, tirando de él o de ello."
arrebatar,1. tr. Quitar con violencia y fuerza.
arreglar,"1. tr. Reducir o sujetar a regla, ajustar, conformar. U. t. c. prnl."
arremeter,1. tr. desus. Hacer arrancar con ímpetu al caballo.
arriar,"1. tr. Bajar las velas, las banderas, etc., que están en lo alto."
arribar,1. intr. Dicho de una nave: Llegar a un puerto.
arrimar,1. tr. Acercar o poner algo junto a otra cosa. U. t. c. prnl.
arrinconar,1. tr. Poner algo en un rincón o lugar retirado.
arrodillar,1. tr. Hacer que alguien hinque la rodilla o ambas rodillas.
arrojar,"1. tr. Impeler con violencia algo, de modo que recorra una distancia, movido por el impulso que ha recibido."
arrollar,1. tr. Envolver algo plano y extendido de tal suerte que resulte en forma de rollo.
arropar,1. tr. Cubrir o abrigar con ropa. U. t. c. prnl.
arrugar,1. tr. Hacer arrugas a alguien o algo. U. t. c. prnl.
arrullar,1. tr. Dicho de una paloma o de una tórtola: Atraer con arrullos a su pareja.
asar,"1. tr. Hacer comestible un alimento por la acción directa del fuego, o la del aire caldeado, a veces rociando aquel con grasa o con algún líquido."
ascender,1. intr. Subir de un sitio a otro más alto.
asear,"1. tr. Adornar, componer con curiosidad y limpieza. U. t. c. prnl."
asegurar,1. tr. Hacer que alguien o algo queden seguros o firmes. Asegurar la alcayata en la pared. Asegurar al niño en la sillita de paseo.
asentar,1. tr. sentar (‖ poner a alguien en una silla). U. m. c. prnl.
asentir,1. intr. Admitir como cierto o conveniente lo que otra persona ha afirmado o propuesto antes.
aserrar,1. tr. serrar.
asesinar,"1. tr. Matar a alguien con alevosía, ensañamiento o por una recompensa."
asesorar,1. tr. Dar consejo o dictamen.
asfixiar,1. tr. Producir asfixia. U. t. c. prnl.
asir,"1. tr. Tomar o coger con la mano, y, en general, tomar, coger, prender."
asociar,"1. tr. Unir una persona a otra que colabore en el desempeño de algún cargo, comisión o trabajo."
asomar,1. tr. Sacar o mostrar algo por una abertura o por detrás de alguna parte. Asomar la cabeza a la ventana. U. t. c. prnl.
aspirar,1. tr. Atraer el aire exterior a los pulmones.
asquear,1. intr. Dicho de una persona o una cosa: Causar asco. Este trabajo me asquea. U. t. c. tr.
asustar,1. tr. Dar o causar susto. U. t. c. prnl.
atacar,"1. tr. En un arma de fuego, una mina o un barreno, apretar el taco."
atajar,1. intr. Ir o tomar por el atajo.
atar,"1. tr. Unir, juntar o sujetar con ligaduras o nudos."
atascar,1. tr. Obstruir o cegar un conducto con algo. U. m. c. prnl. Atascarse una cañería.
atemorizar,1. tr. Causar temor a alguien. U. t. c. prnl.
atender,"1. tr. Acoger favorablemente, o satisfacer un deseo, ruego o mandato. U. t. c. intr."
atenuar,"1. tr. Poner tenue, sutil o delgado algo."
aterrizar,"1. intr. Dicho de un avión o de un artefacto volador cualquiera: Posarse, tras una maniobra de descenso, sobre tierra firme o sobre cualquier pista o superficie que sirva a tal fin."
atestar,"1. tr. Henchir alguna cosa hueca, apretando lo que se mete en ella. Atestar de lana un costal."
atisbar,"1. tr. Mirar, observar con cuidado, recatadamente."
atontar,1. tr. Aturdir o atolondrar. U. t. c. prnl.
atorar,"1. tr. Atascar, obstruir. U. t. c. intr. y c. prnl."
atormentar,1. tr. Causar dolor o molestia corporal. U. t. c. prnl.
atraer,1. tr. Dicho de un cuerpo: Acercar y retener en virtud de sus propiedades físicas a otro externo. El imán atrae el hierro.
atrapar,1. tr. Coger a quien huye o va deprisa.
atrasar,1. tr. retardar. U. t. c. prnl.
atronar,1. tr. Asordar o perturbar con ruido como de trueno.
aturdir,1. tr. Causar aturdimiento. U. t. c. prnl.
augurar,"1. tr. Presagiar, presentir, predecir."
aullar,1. intr. Dar aullidos.
aumentar,"1. tr. Dar mayor extensión, número o materia a algo. U. t. c. intr. y c. prnl."
autenticar,1. tr. autentificar.
aventajar,"1. tr. Adelantar, poner en mejor estado, conceder alguna ventaja o preeminencia. U. t. c. prnl."
aventar,1. tr. Hacer o echar aire a algo.
avergonzar,1. tr. Causar vergüenza.
